# RadiaCode XML energy-recalibrated spectrum
# Calibration,E_keV = 5.151420584 + 2.431018093*c + 0.000374694301*c^2
# Channel indexing,zero-based RadiaCode XML channel index
# Name,RadiaCode-103
# SpectrumName,Th 232 - 1 hour Spectrum 21-06-2026
# SerialNumber,RC-103-006489
# StartTime,2026-06-21T16:38:58
# EndTime,2026-06-21T17:40:48
# MeasurementTime,3710
# NumberOfChannels,1024
# Original_XML_Calibration,E_keV = 8.0997305 + 2.35303*c + 0.0003807156*c^2

Energy_keV,Counts
2493.464995,14
2496.570088,5
2499.675931,3
2502.782523,10
2505.889864,8
2508.997955,8
2512.106795,8
2515.216384,6
2518.326723,7
2521.437811,5
2524.549649,7
2527.662236,7
2530.775572,10
2533.889658,9
2537.004493,9
2540.120078,10
2543.236412,7
2546.353495,17
2549.471328,9
2552.589910,16
2555.709242,5
2558.829323,8
2561.950153,12
2565.071733,12
2568.194062,13
2571.317140,12
2574.440968,12
2577.565545,13
2580.690872,13
2583.816948,18
2586.943773,14
2590.071348,16
2593.199672,13
2596.328746,15
2599.458569,13
2602.589141,13
2605.720463,13
2608.852534,21
2611.985354,19
2615.118924,17
2618.253244,24
2621.388312,19
2624.524130,16
2627.660698,18
2630.798015,15
2633.936081,20
2637.074897,14
2640.214462,20
2643.354776,15
2646.495840,13
2649.637653,10
2652.780216,14
2655.923528,18
2659.067589,17
2662.212400,13
2665.357960,17
2668.504269,5
2671.651328,5
2674.799136,11
2677.947694,18
2681.097001,13
2684.247058,9
2687.397864,12
2690.549419,7
2693.701723,5
2696.854777,6
2700.008581,6
2703.163134,4
2706.318436,5
2709.474487,4
2712.631288,6
2715.788839,3
2718.947138,4
2722.106187,5
2725.265986,1
2728.426534,3
2731.587831,9
2734.749878,3
2737.912674,3
2741.076219,0
2744.240514,2
2747.405558,7
2750.571352,1
2753.737895,3
2756.905187,3
2760.073229,6
2763.242020,0
2766.411561,0
2769.581851,1
2772.752890,3
2775.924679,2
2779.097217,1
2782.270505,3
2785.444541,2
2788.619328,0
2791.794863,3
2794.971148,0
2798.148183,4
2801.325967,3
2804.504500,0
2807.683783,2
2810.863815,1
2814.044596,4
2817.226127,2
2820.408407,1
2823.591436,2
2826.775215,0
2829.959744,1
2833.145021,1
2836.331049,1
2839.517825,1
2842.705351,1
2845.893626,0
2849.082651,2
2852.272425,1
2855.462948,0
2858.654221,1
2861.846243,0
2865.039015,2
2868.232536,1
2871.426806,1
2874.621826,0
2877.817595,1
2881.014114,1
2884.211382,133
